title	label_id	target
이지텐셀티 YMSH23SS684_P338232832	15	1
3 Pack of Alternative - Earthleisure Women's Modal Triblend Tee|Color: Black, 4.4 oz, 40/35/25 TENCEL Modal/Cotton/Recycled polyester	5	1
ESPRIT Mit Tencel™: Shorts aus Jersey	16	1
Vero Moda Mia Relaxed Fit Tencel Pants Pantalones Mujer	16	1
Banana Republic Black Slim Tencel Pant Size XL	16	1
Cloth & Stone 100%Ttencel lightweight distressed curved bottom skirt size xs	7	0
크리비아 슬립란제리 롱 텐셀나시	15	1
Talbots Chambray Blouse Top Womens Sz S Blue 100% Tencell Long Sleeve V-Neck	7	0
Tencel cotton white blouse with frill neckline, embroided detail & metal rings	7	0
Sundance Linen Tencel Blend Rust Henna Quinn Pants Womens Size Petite 8	7	0
【预售】丽婴房男女童天丝上衣儿童宝宝空气层卡通保暖内衣2022秋新款 白底印图 80CM/1岁	10	1
HITAM Kaos Casual Kaosans Polos Negro Premium Algodón Modal Tencel 30s Tamaño Regular (Unisex)	5	1
J. Jill Purejill Luxe Tencel Tunic Blouse Women's Medium Blue Asymmetrical Hem	7	0
Miliki Nabillasyal | Aliya Series | Instan Hijab - Tencel™️ Modal - Black	5	1
Hera Set in Blush ORGANIC SILK Pajamas Tencel Piyama Wanita	10	1
(비비안)(파주점)비비안 텐셀모달 원단 여성 기본 런닝 RU7299	15	1
Eileen Fisher Women's Purple Top Blouse Size 2X Tencel Button Up Long Sleeve	7	0
Chi Umbrella Umbrella Belizean Summer Sunny Multi-Layer Tencel Irregular Tassel Edge Skirt Women's Summer High Waist Exquisite Skirt	10	1
] Size Women's T-Shirt Folding Top A2957 Clothing Shirt Happy Large [Tencel Summer 6 Drawstrings _	16	1
"Jean Perry""Carlisle Series"" Tencel Collection - 1000 Thread Count - Quilt Cover Set (Queen)"	16	1
【jeans Girl】tencel กางเกงยีนขาเก้าส่วน ผ้าเรยอน แบบบาง เอวสูง แฟชั่นฤดูร้อน สําหรับผู้หญิง 2023	10	1
여자잠옷 상하세트 모달 텐셀 잠옷 반팔잠옷 홈웨어 파자마	15	1
Soft Surroundings Tencel Button Top Wrap Tunic Asymmetrical Size Lg Petite	7	0
Limited Goodnitegwen TOWER TENCEL™ modal ijo tua indonesia piyama	5	1
Lyocell Tencel Ultra-Thin Denim Men Summer Cool Soft Breathable Silm Skinny Jeans Casual Long Pants	10	1
M&S Ladies Jeans Blush Pink Super Skinny Tencel Stretch 18 BNWT Marks	16	1
自巧小个子【天丝面料】高级感衬衫女夏新款雪纺上衣22ZQ2174 豆绿 XXS	16	1
2022 Primavera Verano Ropa De Cintura Alta Suave Cortina De Moda Más Delgado Mirada Tencel Pantalones De Mezclilla De Pierna Ancha Las Mujeres Delgados Rectos	16	1
CLOTH & STONE Anthropologie White Shirt Tencel Fray Hem Button Up Long Sleeve XS	7	0
☾✉✐Girls Tencel jeans summer thin section 2021 new children s loose casual anti-mosquito pants, big children s long pant	15	1
丽婴房儿童内衣套装棉春装男女童春款宝宝家居服睡衣天丝内衣套装...	10	1
Pure Jill J Jill LP Tencel Modal Soft Raisin Jogger Pants W/Pockets Stretch NWT	5	1
万年雅梭织莫代尔薄款睡衣女短袖长裤夏天冰丝家居服春夏季天丝女士套装 MZT8805梭织莫代尔短袖长裤睡衣女 L	16	1
Tahari Pintuck Trucker Jacket Size XXL Olive Green Tencel Snap Front	16	1
Baju Tidur Anak Kancing TENCEL™️ Modal Panjang Long Button Pajamas Piyama Anak Panjang DOUX DOLCE	5	1
엘케이트 여자 청바지 와이드핏 기장선택 텐셀 스판팬츠 LKDGP014	15	1
Anthropologie Cloth & Stone Tank Acid Wash Womens Tencel Blue Top Size M	7	0
Quince Womens Vintage Wash Tencel Camp Shirt White S	7	0
예스플러스 여성 미디팬티 14종 모음 면 텐셀 무형광 스판	15	1
Real Shot Tencel Solid Color Modal Bottoming Shirt Half Turtleneck Plaid Breathable New Fall Heattech	5	1
Zara Tencel Peach Button Up Pockets Long Roll Tab Sleeves Women's XL Tunic Dress	7	0
[MOONYAMOONYA] EFM Girls' Tencel Modal Underwear 10.	5	1
New Chinese Style Cropped Culottes Women's Summer 2024 New Arrival High Waist Tencel Thin Casual Plus Size Loose Loose Pants	15	1
ONLYSHE Comfy Cotton Beach Shorts For Women High Waist Drawstring Casual Pure Color Shorts Summer Holiday Short Pants with Pocket	7	0
[비비안] BR1767ABP1767AGY_텐셀 몰드브라 팬티세트GY	10	1
Baju Tidur Anak TENCEL Modal Pendek Short Pyjamas Piyama Anak Pendek	5	1
HAMAKO - Baby Pants - Celana Panjang Bayi Tencel - Watar goose, 6 - 9 mo	10	1
Spyderbilt Kaos Lengan Pendek Anak Anak Stracom Tencel Kids Tee Planet Surf	10	1
Baju Tidur Dewasa Tencel Modal Piyama Dewasa Douillet Doux Dolce 2 - Spring Bird, Oblong Small	5	1
Timberland Earthkeepers Tencel Gray Canvas High Top Sneakers, Men’s 10.5 U.S.	7	0
PATAGONIA ~ BLACK DRESS ~ M ~ ORGANIC COTTON / TENCEL ~	7	0
横行道天丝中袖女2023新款春装露肩上衣服条纹t恤V领宽松针织衫薄 黑色 4XL	16	1
❤[READY STOCK]. palazzo muslimah palazzo pants muslimah pants Kanak-kanak perempuan tencel seluar je	15	1
【捡漏价】恒源祥新款Polo领衫短袖夏季翻领半袖天丝棉青年男装T恤纯色短袖T恤男装 白色 XL建议140-155斤	16	1
Kaos Kaki Premium AGAM socks LEGACY Over The Calf TENCEL Modal	5	1
Eileen Fisher M Tencel Slim Fit Slouch Straight Leg Crop Pull On Pant Taupe	7	0
하프클럽/레노마 레노마 SH04 텐셀 일반핏 셔츠 RLSSGP-802-BU63	15	1
Tommy Bahama Size 8 Chambray Straight Leg Pants Tencel 32 Waist Blue Lightweight	7	0
SchiesserE5/19966W	16	1
[bE pRETTY] Sare Studio Padma Tencel Triangle Bra in Black - L	10	1
Bonnorth Pantalones cortos de tencel con cordón y cintura elástica para mujer, estilo casual, cintura alta, con bolsillos	16	1
Tommy Spring and Autumn Tencel Modal Cotton Casual Pants Straight Stretch Non-Ironing Anti-Wrinkle All-Matching Men's Pants	5	1
부드러운 텐셀 코지 브라/팬티	15	1
Tommy Bahama Hawaiian shirt Mens XL short sleeve button up tencel floral	7	0
LARUSSO Big Size Kemeja Basic Tencel Panjang - Mocca M014	10	1
【狄騰馬】快速出貨 100%專櫃撤櫃桑蠶絲天絲短袖V領針織開衫夏季新款打底衫T恤上衣 7NXL	15	1
Coldwater Creek | Tencel Swing Jacket. Orange Button Up. Size 12. Soft!	7	0
[오노마] ONM 올레이스 텐셀 풀컵 노와이어 브라팬티 0857xe	15	1
金利来奥特莱斯男装莱赛尔棉亲肤透气条纹翻领商务休闲男士短袖T恤上衣 00-白底蓝条 XXL	16	1
(현대백화점) 타티네쇼콜라 BL헨리텐셀우주 우주복 (2023년 FW신상) TNMWQX20UB	15	1
Nanette Lepore Women's Size Lg Tencel Polyester Olive Green Jogger Pants, EUC	7	0
Tommy Hilfiger Cotton Tencel Chino Rw Short Pantaloni Donna	16	1
金利来官方直发含桑蚕丝短袖t恤秋季新款男士含莱赛尔棉顺滑亲肤翻领T恤男 黑色-99 XL	7	0
3 Pack of Alternative - Earthleisure Women's Modal Triblend Tee|Color: Faded Red, 4.4 oz, 40/35/25 TENCEL Modal/Cotton/Recycled polyester	5	1
YARK Camiseta Deportiva Hombre Algodon Tencel Manga Corta	16	1
LARUSSO X TENCEL Overshirt - White K322	10	1
Sleepolic - SHIRO Tencel Vneck - Piyama TNCL Modal - Baju Tidur Wanita - Tgn Pdk Cln Pjg	16	1
Joop! Maglietta Intimo Donna T-Shirt, Mere Comfort, Tencel™ Modal Micro, Tinta Unita (Nero, M (Medium))	5	1
Hamako Jippa Zip Suit - Baju Tidur Bayi TENCEL - Vintage Bloom, 18-24M	7	0
Modal/Men s Drawers/Panties/PT1239D/KHA30525709	7	0
(피엔알)(267)심플한 데일리 여성 맥시 텐셀소재 맥시팬티	15	1
Kuhl Moongazer Full-Zip Lightweight Tencel Hoodie Top Jacket Hibiscus X-Small	7	0
[Slight Flaw and Good Price] Scandinavian Niche Style LR Cool Eye Perspective Minimalist Tooling Style Tencel Sexy Black Vest Shirt	15	1
Aeri ORGANIC SILK Classic Pyjamas Tencel ชุดนอน	15	1
미니멀 텐셀 팬츠 (G35DBP520-T)	15	1
Taiwan Shipping Factory Half High Collar Short Sleeve T-Shirt Women's Inner Wear Slim-Fit Slimmer Look Lyocell Tencel High-End Feeling Formal Shoulder Out	15	1
Tommy Bahama Jeans Mens Large L Shirt Short Sleeve Button Up Blue Tencel -Stain	7	0
URMAGIC 2-8T Kids Little Girl Boy Modal Tencel Long Sleeve Tops Long Pants Pajamas Set Sleepwear	5	1
Tencel Jogger Pants-Powder Blue	16	1
[MOONYAMOONYA] DFM Yeoju Tencel Modal Mold Bra 401	5	1
曹范@2022仿真丝冰爽冰丝滑料中年爸爸男短袖T恤双丝光棉大码半袖 桔红色 O双丝光[57%天丝] 5XL建议215斤以内	15	1
PROFESSIOONAL Estilo de Dibujos animadosLenzing Tencel Sábana de Funda nórdica Linda de Verano de Cuatro Piezas Ropa de Cama para Dormir Desnuda con sensación Fresca (Color : Blue 4-Piece Suit, Size	16	1
��명�����紐5�ы�곗��痢�4醫���명��	15	1
Tencel Modal2021New Casual Sports Suit Women's Summer Wear Figure Flattering Sportswear Summer Short Sleeve Two-Piece	5	1
Kenneth Cole Reaction Size L, Olive Green Tencel Bomber Jacket.	7	0
Awan Kids Sleepsuit - Baju Tidur Baby Zipper Sleepsuit Bayi Tencel - Pink Grey, 0-3m	10	1
